Ente;Misura;Tipo;Annualit… precedenti;2007;2008;2009;2010;2011;2012;2013
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;ASSEGNATO PER ANNO SOLARE;0;0;231964,91;476596;757658,42;552983,77;1050063,07;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO ANTICIPO;0;0;33975,83;91784,02;77144,37;0;0;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO SALDO;0;0;510372,47;452711,27;0;206596,16;32998,62;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;IN ISTRUTTORIA;0;0;0;0;0;206596,16;32998,62;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER COMPETENZA;0;0;544348,3;568912,6;77144,37;0;114319,58;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER ANNO SOLARE;0;0;0;115133,23;854864,37;220407,67;114319,58;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER COMPETENZA;0;0;544348,3;568912,6;77144,37;0;334715,32;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER ANNO SOLARE;0;0;0;33975,83;863260,5;285113,94;342770,32;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;PAGATO PER COMPETENZA;0;0;544348,3;537995,16;77144,36;0;323439,71;0
C.M. Amiata Grossetano;(PSR121) Ammodernamento delle aziende;PAGATO PER ANNO SOLARE;0;0;0;33975,82;832343,07;285113,93;331494,71;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;RICHIESTO;0;0;528042,531;509547,01;696817,08;0;0;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER COMPETENZA;0;0;112116,99;329697,24;42036,96;38702,44;113997,05;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER ANNO SOLARE;0;0;78458,92;38383,07;324972,24;80739,4;113997,05;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;DOMANDE PAGAMENTO ANTICIPO;0;0;6731,61;29503,43;0;0;0;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;DOMANDE PAGAMENTO SALDO;0;0;84889,7;216913,45;9036,68;0;3348,5;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;IN ISTRUTTORIA;0;0;0;0;0;0;3348,5;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER COMPETENZA;0;0;91621,31;205379,24;9036,68;0;0;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER ANNO SOLARE;0;0;0;6731,61;96855,3;202450,32;0;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER COMPETENZA;0;0;91621,31;205379,24;9036,68;0;1739,76;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER ANNO SOLARE;0;0;0;6731,61;96855,3;126007,83;78182,25;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER COMPETENZA;0;0;91621,32;205379,22;9036,68;0;1739,75;0
C.M. Amiata Grossetano;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER ANNO SOLARE;0;0;0;6731,61;96855,32;126007,8;78182,24;0
C.M. Amiata Grossetano;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;LIQUIDATO PER COMPETENZA;0;0;15675;0;0;0;0;0
C.M. Amiata Grossetano;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;LIQUIDATO PER ANNO SOLARE;0;0;0;15675;0;0;0;0
C.M. Amiata Grossetano;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;AUTORIZZATO PER COMPETENZA;0;25675;15675;0;0;0;0;0
C.M. Amiata Grossetano;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;AUTORIZZATO PER ANNO SOLARE;0;0;25675;0;0;0;15675;0
C.M. Amiata Grossetano;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;PAGATO PER COMPETENZA;0;0;15675;0;0;0;0;0
C.M. Amiata Grossetano;(PSR822) PSR - Misura 8.2.2 (i) - Altre misure forestali;PAGATO PER ANNO SOLARE;0;0;0;0;0;0;15675;0
C.M. Amiata Grossetano;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;RICHIESTO;0;0;201,425;13639,15;13477,56;0;0;0
C.M. Amiata Grossetano;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;ASSEGNATO PER COMPETENZA;0;0;201,43;2142;10817,56;0;0;0
C.M. Amiata Grossetano;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;ASSEGNATO PER ANNO SOLARE;0;0;0;201,43;12959,56;0;0;0
C.M. Amiata Grossetano;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;DOMANDE PAGAMENTO SALDO;0;0;0;0;0;823,2;0;0
C.M. Amiata Grossetano;(PSR132) Sostegno agli agricoltori che partecipano ai sistemi di qualit… alimentare;IN ISTRUTTORIA;0;0;0;0;0;823,2;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;RICHIESTO;0;189847,69;500870,22;657830,02;613205,95;0;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;DOMANDE PAGAMENTO RINNOVI;0;0;89738,96;112295,92;332898,84;0;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;ASSEGNATO PER COMPETENZA;0;79319;17941;175176,57;90214;0;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;ASSEGNATO PER ANNO SOLARE;0;0;97260;172236,75;93153,82;0;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;DOMANDE REVOCATE;0;1934,01;12697,41;97465,02;0;0;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;IN ISTRUTTORIA;0;0;265,99;2939,82;39918;0;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;RIDUZIONI DA CONTROLLI SIGC;0;13046,72;16924,16;26400,59;60257,03;0;0;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;LIQUIDATO PER COMPETENZA;0;64338,27;77792,4;258132,08;322937,81;14030,25;11108,89;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;LIQUIDATO PER ANNO SOLARE;0;0;60574,77;18982,98;263784,52;327648,42;77349,01;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;AUTORIZZATO PER COMPETENZA;0;64338,27;77792,4;258132,08;322937,81;14030,25;11108,89;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;AUTORIZZATO PER ANNO SOLARE;0;0;60574,77;18982,98;263784,52;327648,42;77349,01;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;PAGATO PER COMPETENZA;0;54015,08;91420,72;255222,23;318435,88;14030,25;11108,91;0
C.M. Amiata Grossetano;(PSR214) Indennit… per gli interventi agroambientali;PAGATO PER ANNO SOLARE;0;0;60574,77;18982,98;267462,86;324365,42;72847,04;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;DOMANDE PAGAMENTO RINNOVI;0;87432,66;95778,92;92214,37;75463,93;0;0;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;IN ISTRUTTORIA;0;0;11802,11;37094,4;0;0;0;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;LIQUIDATO PER COMPETENZA;0;87432,68;87432,68;58575,84;78919,8;82665,47;5441;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;LIQUIDATO PER ANNO SOLARE;0;0;87432,68;129258,08;87295,02;42571,63;53910,06;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;AUTORIZZATO PER COMPETENZA;0;87432,68;87432,68;58575,84;78919,8;34196,41;53910,06;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;AUTORIZZATO PER ANNO SOLARE;0;0;87432,68;129258,08;87295,02;42571,63;53910,06;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;PAGATO PER COMPETENZA;0;87432,71;83976,85;38369,55;0;0;0;0
C.M. Amiata Grossetano;(PSR2078) Reg.(CE)2078/92 Agroambiente;PAGATO PER ANNO SOLARE;0;0;87432,71;122346,4;0;0;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;DOMANDE PAGAMENTO RINNOVI;0;73584,26;69584,97;63467,45;32783,79;0;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;IN ISTRUTTORIA;0;0;0;802,2;32783,79;0;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;RIDUZIONI DA CONTROLLI SIGC;0;3069,17;82,51;0;0;0;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;LIQUIDATO PER COMPETENZA;0;70515,09;69502,46;62665,25;0;0;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;LIQUIDATO PER ANNO SOLARE;0;0;0;129702,03;66618,56;6362,21;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;AUTORIZZATO PER COMPETENZA;0;70515,09;69502,46;62665,25;0;0;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;AUTORIZZATO PER ANNO SOLARE;0;0;0;129702,03;63140,25;9840,52;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PAGATO PER COMPETENZA;174176,05;67888,17;69502,48;62665,28;0;0;0;0
C.M. Amiata Grossetano;(PSR81) PSR - Misura 8.1 (h) - Rimboschimento di superfici agricole;PAGATO PER ANNO SOLARE;0;174176,05;0;73399,03;116816,35;9840,55;0;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;DOMANDE PAGAMENTO RINNOVI;0;47762,99;46792,36;35708,68;35708,68;0;0;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;IN ISTRUTTORIA;0;2870,07;4014,28;13091,03;35708,68;0;0;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;RIDUZIONI DA CONTROLLI SIGC;0;46,84;1735,37;0,31;0;0;0;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;LIQUIDATO PER COMPETENZA;0;45203,07;32264,91;22617,34;0;0;0;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;LIQUIDATO PER ANNO SOLARE;0;0;37781,91;4372,45;30154,42;4326,29;23450,25;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;AUTORIZZATO PER COMPETENZA;0;44599,9;41042,71;22014,17;0;0;0;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;AUTORIZZATO PER ANNO SOLARE;0;0;37781,91;4372,45;30154,42;4326,29;31021,71;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;PAGATO PER COMPETENZA;58658,44;44307,52;41042,7;22014,18;0;0;0;0
C.M. Amiata Grossetano;(PSR2080) Reg.(CE)2080/92 Forestazione;PAGATO PER ANNO SOLARE;0;54596,38;41697,81;4203,18;30300,58;4203,18;31021,71;0
C.M. Amiata Grossetano;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;DOMANDE PAGAMENTO RINNOVI;0;680;680;0;0;0;0;0
C.M. Amiata Grossetano;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;LIQUIDATO PER COMPETENZA;0;680;680;680;0;0;0;0
C.M. Amiata Grossetano;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;LIQUIDATO PER ANNO SOLARE;0;0;0;0;680;1360;0;0
C.M. Amiata Grossetano;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;AUTORIZZATO PER COMPETENZA;0;680;680;680;0;0;680;0
C.M. Amiata Grossetano;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;680;680;1360;0
C.M. Amiata Grossetano;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;PAGATO PER COMPETENZA;0;680;680;680;0;0;680;0
C.M. Amiata Grossetano;(PSR821) PSR - Misura 8.2.1 (i) - Altre misure forestali;PAGATO PER ANNO SOLARE;0;0;0;0;680;680;1360;0
C.M. Amiata Grossetano;(PSR2261) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - parte privata;RICHIESTO;0;0;0;0;62604,32;0;0;0
C.M. Amiata Grossetano;(PSR2262) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - Altri enti;RICHIESTO;0;0;29999,99;80679,99;80679,99;0;0;0
C.M. Amiata Grossetano;(PSR2262) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - Altri enti;ASSEGNATO PER COMPETENZA;0;0;0;50680;0;0;0;0
C.M. Amiata Grossetano;(PSR2262) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - Altri enti;ASSEGNATO PER ANNO SOLARE;0;0;0;50680;0;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;ASSEGNATO PER COMPETENZA;0;0;49761,76;0;0;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;ASSEGNATO PER ANNO SOLARE;0;0;49761,76;0;0;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;DOMANDE PAGAMENTO SALDO;0;0;42447,66;0;0;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;LIQUIDATO PER COMPETENZA;0;0;42447,66;0;0;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;LIQUIDATO PER ANNO SOLARE;0;0;0;0;42447,66;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;AUTORIZZATO PER COMPETENZA;0;0;42447,66;0;0;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;42447,66;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;PAGATO PER COMPETENZA;0;0;42447,66;0;0;0;0;0
C.M. Amiata Grossetano;(PSR2263) Ricostituzione del potenziale forestale ed introduzione di interventi preventivi - PP e CCMM;PAGATO PER ANNO SOLARE;0;0;0;0;42447,66;0;0;0
C.M. Amiata Grossetano;(PSR2271) Sostegno agli interventi non produttivi - settore forestale - parte privata;RICHIESTO;0;0;0;0;37194,99;0;0;0
C.M. Amiata Grossetano;(PSR2272) Sostegno agli interventi non produttivi - settore forestale - altri enti;RICHIESTO;0;0;0;68069,25;68069,25;0;0;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;RICHIESTO;0;0;1170373,159;1705438,14;313848,16;0;0;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;ASSEGNATO PER COMPETENZA;0;0;550863,48;433616,27;126257,3;150436;133958,58;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;ASSEGNATO PER ANNO SOLARE;0;0;71664,78;424398,72;614673,55;150436;133958,58;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;DOMANDE PAGAMENTO ANTICIPO;0;0;78092,49;90698,29;152260,25;0;0;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;DOMANDE PAGAMENTO SALDO;0;0;424652,13;208025,2;0;205173,63;0;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;IN ISTRUTTORIA;0;0;0;0;0;205173,63;0;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;LIQUIDATO PER COMPETENZA;0;0;483939,62;298723,49;152260,25;0;205173,63;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;LIQUIDATO PER ANNO SOLARE;0;0;0;288350,03;329104,38;267467,85;255174,73;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;AUTORIZZATO PER COMPETENZA;0;0;483939,62;368474,73;152260,25;0;225391,63;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;AUTORIZZATO PER ANNO SOLARE;0;0;0;258553,79;358900,62;232766,05;379845,77;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;PAGATO PER COMPETENZA;0;0;483939,65;368474,76;152260,25;0;225391,64;0
C.M. Amiata Grossetano;(PSR311) Diversificazione verso attivit… non agricole;PAGATO PER ANNO SOLARE;0;0;0;243698,79;373755,66;232766,07;379845,78;0
C.M. Amiata Grossetano;(PSR1) PSR - Misura 1 (a) - Investimenti nelle aziende agricole;PAGATO PER COMPETENZA;715606,82;0;0;0;0;0;0;0
C.M. Amiata Grossetano;(PSR1) PSR - Misura 1 (a) - Investimenti nelle aziende agricole;PAGATO PER ANNO SOLARE;0;715606,82;0;0;0;0;0;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;DOMANDE PAGAMENTO RINNOVI;0;1658658,26;796555,89;560536,4;434257;0;0;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;IN ISTRUTTORIA;0;24156;0;1120,5;434257;0;0;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;RIDUZIONI DA CONTROLLI SIGC;0;67715,54;92127,64;24475,78;0;0;0;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;LIQUIDATO PER COMPETENZA;0;1516194,61;662789,7;493438,6;388998,36;0;3796,43;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;LIQUIDATO PER ANNO SOLARE;0;713537,87;643552,4;1097131,32;107510,82;495892,43;7592,86;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;AUTORIZZATO PER COMPETENZA;0;1535825,61;662785,78;493438,6;390123,36;0;3796,43;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;AUTORIZZATO PER ANNO SOLARE;0;713537,87;663306,75;1097007,97;107506,9;495891,66;8718,63;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;PAGATO PER COMPETENZA;293003,53;0;0;0;0;0;0;0
C.M. Amiata Grossetano;(PSR6) PSR - Misura 6 (f) - Misure agroambientali;PAGATO PER ANNO SOLARE;0;270907,71;22095,82;0;0;0;0;0
C.M. Amiata Grossetano;(PSR95) PSR - Misura 9.5 (p) - Diversificazione delle attivit… del settore agricolo;PAGATO PER COMPETENZA;100953,64;0;0;0;0;0;0;0
C.M. Amiata Grossetano;(PSR95) PSR - Misura 9.5 (p) - Diversificazione delle attivit… del settore agricolo;PAGATO PER ANNO SOLARE;0;100953,64;0;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;RICHIESTO;0;0;2800000;2560000;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;ASSEGNATO PER COMPETENZA;0;0;400000;720000;120000;0;0;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;ASSEGNATO PER ANNO SOLARE;0;0;0;400000;720000;80000;40000;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;DOMANDE PAGAMENTO ANTICIPO;0;0;400000;680000;160000;40000;0;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;DOMANDE REVOCATE;0;0;0;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;LIQUIDATO PER COMPETENZA;0;0;400000;680000;160000;40000;0;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;LIQUIDATO PER ANNO SOLARE;0;0;0;400000;280000;600000;0;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;AUTORIZZATO PER COMPETENZA;0;0;400000;680000;160000;0;580000;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;AUTORIZZATO PER ANNO SOLARE;0;0;0;400000;160000;680000;580000;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;PAGATO PER COMPETENZA;0;0;400000;680000;160000;0;200000;0
C.M. Amiata Val D'Orcia;(PSR112) Insediamento giovani agricoltori;PAGATO PER ANNO SOLARE;0;0;0;360000;160000;720000;200000;0
C.M. Amiata Val D'Orcia;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;AUTORIZZATO PER COMPETENZA;0;0;3640;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;3640;0;0;0
C.M. Amiata Val D'Orcia;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;PAGATO PER COMPETENZA;0;0;3640;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR114) Ricorso ai servizi di consulenza degli imprenditori agricoli e forestali;PAGATO PER ANNO SOLARE;0;0;0;0;3640;0;0;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;RICHIESTO;0;0;13285850,65;14250592,53;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;ASSEGNATO PER COMPETENZA;0;0;955121,19;1370533,42;595539,06;195181,4;21800;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;ASSEGNATO PER ANNO SOLARE;0;0;414768,81;1313332,98;641138,48;415037,7;353897,1;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO ANTICIPO;0;0;0;62581,45;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;DOMANDE PAGAMENTO SALDO;0;0;927263,7;1004839,19;0;25320;126987,31;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;IN ISTRUTTORIA;0;0;0;0;0;25320;26920,91;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER COMPETENZA;0;0;927263,7;1094613,05;0;0;125386,4;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;LIQUIDATO PER ANNO SOLARE;0;0;0;568299,05;689196,66;764381,04;125386,4;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER COMPETENZA;0;0;927263,7;1094613,05;0;0;1782431,99;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;AUTORIZZATO PER ANNO SOLARE;0;0;0;527148,05;730347,66;645975,42;1900837,61;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;PAGATO PER COMPETENZA;0;0;927263,71;1063269,61;0;0;1770972,8;0
C.M. Amiata Val D'Orcia;(PSR121) Ammodernamento delle aziende;PAGATO PER ANNO SOLARE;0;0;0;420258,14;829992,57;599947;1911308,41;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;RICHIESTO;0;0;44690,662;27485,7;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER COMPETENZA;0;0;44690,66;12966,84;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;ASSEGNATO PER ANNO SOLARE;0;0;24080,23;33577,27;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;DOMANDE PAGAMENTO SALDO;0;0;43491,82;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER COMPETENZA;0;0;43491,82;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;LIQUIDATO PER ANNO SOLARE;0;0;0;43491,82;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER COMPETENZA;0;0;43491,82;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;AUTORIZZATO PER ANNO SOLARE;0;0;0;43491,82;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER COMPETENZA;0;0;43491,82;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1221) Migliore valorizzazione economica delle foreste - parte privata;PAGATO PER ANNO SOLARE;0;0;0;43491,82;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;RICHIESTO;0;0;12140,4;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;ASSEGNATO PER COMPETENZA;0;0;11096,4;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;ASSEGNATO PER ANNO SOLARE;0;0;0;11096,4;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;DOMANDE PAGAMENTO SALDO;0;0;9294;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;LIQUIDATO PER COMPETENZA;0;0;9294;0;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;LIQUIDATO PER ANNO SOLARE;0;0;0;9294;0;0;0;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;AUTORIZZATO PER COMPETENZA;0;0;9294;0;0;0;46176;0
C.M. Amiata Val D'Orcia;(PSR1222) Migliore valorizzazione economica delle foreste - parte pubblica;AUTORIZZATO PER ANNO SOLARE;0;0;0;0;9294;0;46176;0
